metric,value
mlp_photo_dark_ratio_mae_mean,0.916103
mlp_photo_dark_ratio_mae_std,0.367233
mlp_photo_dark_ratio_rmse_mean,1.219826
mlp_photo_dark_ratio_rmse_std,0.394615
mlp_photo_dark_ratio_r2_mean,-196.217610
mlp_photo_dark_ratio_r2_std,588.655997
mlp_photo_dark_ratio_mc_std_mean_mean,0.059985
mlp_photo_dark_ratio_mc_std_mean_std,0.020260
