metric,value
mlp_photo_dark_ratio_mae_mean,0.950020
mlp_photo_dark_ratio_mae_std,0.451183
mlp_photo_dark_ratio_rmse_mean,1.222556
mlp_photo_dark_ratio_rmse_std,0.503672
mlp_photo_dark_ratio_r2_mean,-0.368004
mlp_photo_dark_ratio_r2_std,1.559407
mlp_photo_dark_ratio_mc_std_mean_mean,0.069554
mlp_photo_dark_ratio_mc_std_mean_std,0.023295
