name,dopant,conc,E,E_per_atom,fmax,nn,sec
Al_0.0265,Al,0.0265,-727.5373014391598,-6.062810845326331,0.010453388772819693,"[np.float64(1.786), np.float64(1.786), np.float64(1.786), np.float64(1.817)]",11.9
B_0.0200,B,0.02,-727.9559068928097,-6.066299224106747,0.008808212981855823,"[np.float64(1.528), np.float64(1.529), np.float64(1.532), np.float64(1.586), np.float64(2.971), np.float64(2.972)]",14.0
Bi_0.0265,Bi,0.0265,-721.645373764891,-6.013711448040758,0.01948690755660157,"[np.float64(2.133), np.float64(2.149), np.float64(2.149), np.float64(2.177)]",9.7
Cu_0.1000,Cu,0.1,-234.62794229772877,-5.865698557443219,0.018954583519710133,"[np.float64(1.86), np.float64(1.884), np.float64(1.884), np.float64(1.929)]",3.0
Er_0.0250,Er,0.025,-728.5753457613644,-6.0714612146780365,0.024479292595575707,"[np.float64(2.062), np.float64(2.094), np.float64(2.094), np.float64(2.098)]",9.2
Eu_0.0020,Eu,0.002,-68.75265311140107,-6.875265311140107,0.027150596806304602,"[np.float64(2.304), np.float64(2.304), np.float64(2.308), np.float64(2.308), np.float64(2.335), np.float64(2.496)]",2.8
F_0.0125,F,0.0125,-715.2456729747144,-5.96038060812262,0.026216853731702402,"[np.float64(1.476), np.float64(2.453), np.float64(2.5), np.float64(2.527), np.float64(2.817), np.float64(2.876)]",21.1
Fe_0.0265,Fe,0.0265,-725.423260785463,-6.045193839878858,0.004578772764430927,"[np.float64(1.889), np.float64(1.901), np.float64(1.901), np.float64(1.933)]",9.0
Mg_0.0048,Mg,0.0048,-58.46764174954736,-5.846764174954736,0.02546919326523776,"[np.float64(1.93), np.float64(1.93), np.float64(1.961), np.float64(2.005)]",1.4
Sb_0.0200,Sb,0.02,-723.5435870013505,-6.029529891677921,0.022708576941725674,"[np.float64(2.021), np.float64(2.021), np.float64(2.031), np.float64(2.038), np.float64(2.086), np.float64(2.086)]",10.6
Si_0.0000,Si,1.4e-05,-1090.4628264206565,-6.058126813448092,0.013437488728360324,"[np.float64(1.806), np.float64(1.807), np.float64(1.815), np.float64(1.867), np.float64(1.907), np.float64(1.908)]",22.8
Sn_0.0000,Sn,1.4e-05,-1086.514990365986,-6.0361943909221445,0.012860338533447374,"[np.float64(2.059), np.float64(2.061), np.float64(2.061), np.float64(2.105), np.float64(2.149), np.float64(2.149)]",19.4
Ta_0.0050,Ta,0.005,-69.88653126754183,-6.9886531267541825,0.019541825607232267,"[np.float64(1.93), np.float64(1.93), np.float64(1.959), np.float64(2.124), np.float64(2.124), np.float64(2.143)]",4.5
Ti_0.0100,Ti,0.01,-1094.4300657406895,-6.08016703189272,0.010097105727515284,"[np.float64(1.913), np.float64(1.914), np.float64(1.954), np.float64(2.026), np.float64(2.116), np.float64(2.116)]",18.6
V_0.0500,V,0.05,-491.7836426349177,-6.147295532936472,0.02828010989739975,"[np.float64(1.887), np.float64(1.927), np.float64(1.935), np.float64(1.935)]",6.3
W_0.1100,W,0.11,-248.65808444906588,-6.216452111226647,0.027888473002488878,"[np.float64(2.137), np.float64(2.153), np.float64(2.156), np.float64(2.187), np.float64(2.221), np.float64(2.222)]",2.8
Zn_0.0050,Zn,0.005,-55.82862921780355,-5.582862921780356,0.0281528333267718,"[np.float64(1.925), np.float64(1.932), np.float64(1.932), np.float64(2.011)]",1.1
