sample_idx,photo_dark_ratio_pred,photo_dark_ratio_pred_platt,photo_dark_ratio_std,photo_dark_ratio_true,dopant_label,method,atmosphere,concentration_at%,doi,element,is_sputter,photo_dark_ratio_pred_rank,photo_dark_ratio_pred_refined,photo_dark_ratio_alpha
57,2.3153218984603883,1.9556818879460383,0.1095172971487045,,undoped,RFMS+NiO sputtering,Ar,0.0,PMC:11997563 review,—,True,,1.9556818879460383,0.0
58,2.477204704284668,2.292469856970443,0.0636882685124874,,undoped,RF magnetron sputtering,Ar:O2=1:1,,DOI:10.1016/j.jallcom.2025.179343,B,True,,2.292469856970443,0.0
59,2.864462327957153,3.098137314374448,0.0994890019297599,,B,RF magnetron sputtering+air,air,0.0,Fang et al. 2020 ref,—,True,,3.098137314374448,0.0
60,2.187463760375977,1.6896803047054276,0.1390583679080009,,undoped,RF magnetron co-sputtering,Ar:O2=1:1,,Liu et al. IEEE Sens.J. ref,Al+Ga+Zn,True,,1.6896803047054276,0.0
61,3.2632111072540284,3.9277114673955444,0.0963092695921659,,Al,RF magnetron sputtering on 4H-SiC,Ar:O2=1:1,0.0,DOI:10.1007/s13391-021-00297-6,—,True,,3.9277114673955444,0.0
62,2.4286203384399414,2.1913928474889954,0.0819883577525615,,undoped,RF magnetron sputtering+AlN,Ar,0.0,DOI:10.3390/coatings15111312,—,True,,2.1913928474889954,0.0
63,2.295587396621704,1.914625379442144,0.067738377302885,,undoped,RF magnetron sputtering,Ar,1.01,DOI:10.1016/j.surfcoat.2025.131940,Mg,True,,1.914625379442144,0.0
64,2.5197568416595457,2.380997158255848,0.0501166734844446,3.0,Mg,RF magnetron sputtering,Ar:O2=1:1,0.0,DOI:10.1016/j.vacuum.2017.09.007,—,True,3.880997158255848,2.380997158315848,3.999999999840001e-11
65,2.338660144805908,2.0042357819020817,0.1413880407810211,,undoped,RF magnetron sputtering,Ar,0.0,DOI:10.1109/LED.2022.3173041,—,True,,2.0042357819020817,0.0
66,2.4125272750854494,2.157912144612968,0.0746757235378026,,undoped,RF magnetron sputtering,,5.0,10.1016/j.surfcoat.2018.12.130,V,True,,2.157912144612968,0.0
67,2.0898961782455445,1.4866965000881627,0.1236657306551933,,V,RF magnetron sputtering,,4.92,10.1016/j.matlet.2017.08.052,Mg,True,,1.4866965000881627,0.0
68,3.0323899269104,3.44750113165347,0.0935045599937439,,Mg,RF magnetron sputtering,,6.88,10.1016/j.matlet.2017.08.052,Mg,True,4.947501131653469,3.4475011317134694,3.999999999840001e-11
69,3.0715357780456545,3.5289418481795027,0.0983718454837799,,Mg,RF magnetron sputtering,,8.58,10.1016/j.matlet.2017.08.052,Mg,True,5.028941848179503,3.5289418482423294,4.188449942502295e-11
70,3.090680313110352,3.568770964369611,0.0977355226874351,,Mg,RF magnetron sputtering,O2_plasma,1.91,10.1016/j.mssp.2022.106471,Mg,True,2.068770964369611,3.5687709643075944,4.1344388347030096e-11
71,3.972481441497803,5.403308051868599,0.1654203385114669,,Mg,RF magnetron sputtering,O2_plasma,3.28,10.1016/j.mssp.2022.106471,Mg,True,6.903308051868599,5.403308052046255,1.1843757370495482e-10
72,4.113675880432129,5.6970550504093165,0.176516668498516,,Mg,RF magnetron sputtering,O2_plasma,5.22,10.1016/j.mssp.2022.106471,Mg,True,7.1970550504093165,5.697055050611606,1.3485999392976518e-10
73,4.102955341339111,5.674751578650227,0.1451155334711074,,Mg,RF magnetron sputtering,O2_plasma,1.0,10.1016/j.mssp.2024.108361,Mg,True,4.174751578650227,5.674751578513507,9.114639514802121e-11
74,3.4859034061431884,4.391010127672455,0.2290972933173179,4.309630393981934,Mg,RF magnetron sputtering,O2_plasma,2.0,10.1016/j.mssp.2024.108361,Mg,True,3.231181839808968,3.8665861190488897,0.4521565943089762
