sample_idx,vacancy_concentration_pred,vacancy_concentration_pred_platt,vacancy_concentration_std,vacancy_concentration_true,dopant_label,method,atmosphere,concentration_at%,doi,element,is_sputter,vacancy_concentration_pred_rank,vacancy_concentration_pred_refined,vacancy_concentration_alpha
32,7.657505226135254,9.685373201258184,1.535579282976687,,Zn,RF magnetron sputtering,Ar,2.0,ResearchGate Struct.Opt.Zn,Zn,True,11.059836224080167,10.114669491456954,0.31233746057231754
33,3.225993347167969,6.047533362039992,0.7494242362678051,,undoped,RF magnetron sputtering,Ar:O2=3:1,2.0,DOI:10.1016/j.surfcoat.2025.131891,B,True,,6.047533362039992,0.0
34,0.366441535949707,3.70011970609769,0.8304646828211844,,B,RF magnetron sputtering,Ar,2.0,DOI:10.1016/j.optmat.2023.114431,Sb,True,,3.70011970609769,0.0
35,1.9127492904663088,4.96948783749564,0.4706191657111048,,Sb,RF magnetron sputtering,Ar:O2=1:1,,DOI:10.1021/acsaelm.3c01332 ref,Bi+Cu,True,6.46948783749564,4.969487837719519,1.4925281572785158e-10
36,-2.484728240966797,1.3595868843152497,0.5695322354324162,,Bi,RF magnetron sputtering on p-Si,Ar,0.0,DOI:10.1021/acsphotonics.8b00174,—,True,2.8595868843152497,1.359586884643127,2.185847876355237e-10
37,4.680690002441406,7.241697699418321,0.6521018442697823,,undoped,RF magnetron sputtering,Ar,4.92,DOI:10.1016/j.matlet.2017.08.032,Mg,True,,7.241697699418321,0.0
38,14.108184623718262,14.980753004689987,2.561922860145569,14.698969841003418,Mg,RF magnetron sputtering,Ar,6.88,DOI:10.1016/j.matlet.2017.08.032,Mg,True,,14.980753004689987,0.0
39,13.828034591674804,14.750777101350325,2.25915687084198,14.477121353149414,Mg,RF magnetron sputtering,Ar,8.58,DOI:10.1016/j.matlet.2017.08.032,Mg,True,,14.750777101350325,0.0
40,13.369566535949708,14.374419460058313,2.480311298370361,14.301030158996582,Mg,RF magnetron sputtering,Ar,0.72,DOI:10.1016/j.surfcoat.2025.131940,Mg,True,,14.374419460058313,0.0
41,15.379724502563477,16.02456345916986,3.265168046951294,,Mg,RF magnetron sputtering,Ar,1.45,DOI:10.1016/j.surfcoat.2025.131940,Mg,True,15.66869439293653,15.691906858939916,0.9347724536749493
42,15.893931007385254,16.446676940960124,3.0485342502593995,,Mg,RF magnetron sputtering,Ar,5.0,DOI:10.1007/s13391-017-7072-y,Zn,True,14.946676940960124,15.05778206623362,0.9259299164843361
43,5.144708251953125,7.622611509490605,0.8644776307046413,,Zn,RF magnetron sputtering,Ar,5.0,J.Semicond.44(6):062805 2023,Sn,True,6.122611509490605,7.622611508735196,5.036059279124338e-10
44,13.709567832946778,14.653527425326823,2.5329370720312,,Sn,RF magnetron sputtering+N₂,N2,5.0,J.Semicond.44(6):062805 2023,Sn,True,16.15352742532682,14.653527431812023,4.323466644661455e-09
45,15.385116577148438,16.028989827478675,2.622189186140895,,Sn,RF magnetron sputtering+air,air,5.0,J.Semicond.44(6):062805 2023,Sn,True,17.528989827478675,16.02898983442896,4.633523350365262e-09
46,12.247952461242676,13.453683495304913,2.810499599110335,,Sn,RF magnetron sputtering on SiC,Ar,5.0,ACS Omega 2024 review PMC,Al,True,14.953683495304913,13.453683503289302,5.322925244509946e-09
47,1.8435667037963868,4.91269566885394,0.5448319405317307,,Al,RF magnetron sputtering+O₂ ann.+post ann.,O2,0.0,DOI:10.1021/acs.jpcc.2c07278,—,True,,4.91269566885394,0.0
48,3.663467597961426,6.4066571332571955,1.7508147211745382,,undoped,RF magnetron sputtering,Ar,0.0,DOI:10.3390/cryst13101434,—,True,,6.4066571332571955,0.0
49,7.241459846496582,9.34384044713073,1.657893056049943,,undoped,RF magnetron sputtering,Ar,0.0,DOI:10.3390/cryst13101434,—,True,,9.34384044713073,0.0
50,7.382295227050781,9.45945258405925,1.5189180376008151,,undoped,RF magnetron sputtering (glancing angle),Ar,0.0,DOI:10.1021/acsaelm.3c00502,—,True,,9.45945258405925,0.0
51,7.644259071350097,9.674499397709873,1.3501277172006667,,undoped,RF magnetron sputtering+Ag₂O,Ar,0.0,DOI:10.1021/acsami.2c03193,—,True,,9.674499397709873,0.0
52,1.244107437133789,4.420597969059007,0.3793183538131416,,undoped,RF magnetron sputtering,Ar,0.0,DOI:10.1364/OE.531784,—,True,,4.420597969059007,0.0
53,10.218973350524902,11.788089169146703,1.4513012513518333,,undoped,RF magnetron sputtering,Ar,1.01,DOI:10.1016/j.surfcoat.2025.131940,Mg,True,,11.788089169146703,0.0
54,15.231203079223633,15.902641829360533,3.2515547275543213,,Mg,RF magnetron sputtering,Ar,0.0,Pearton APS Review 2018,—,True,14.402641829360533,15.902641818673512,7.124681376841025e-09
55,11.097006034851074,12.508868525360862,1.9260649578645823,,undoped,RF magnetron sputtering+O₂,O2,0.0,Fang 2020 ApplSurf ref,—,True,,12.508868525360862,0.0
56,-4.61219425201416,-0.3868555991864051,0.9783442481420934,,undoped,RF magnetron sputtering,Ar,0.0,DOI:10.1016/j.vacuum.2024.113564,—,True,,-0.3868555991864051,0.0
57,1.934024810791016,4.9869529684827985,0.5224791390821337,,undoped,RFMS+NiO sputtering,Ar,0.0,PMC:11997563 review,—,True,,4.9869529684827985,0.0
58,4.16197566986084,6.815883729880953,0.795441563706845,,undoped,RF magnetron sputtering,Ar:O2=1:1,,DOI:10.1016/j.jallcom.2025.179343,B,True,,6.815883729880953,0.0
59,0.0380651473999023,3.430554658964508,1.1547381390817464,,B,RF magnetron sputtering+air,air,0.0,Fang et al. 2020 ref,—,True,,3.430554658964508,0.0
60,0.3507291793823242,3.6872213909741056,0.9027204276993872,,undoped,RF magnetron co-sputtering,Ar:O2=1:1,,Liu et al. IEEE Sens.J. ref,Al+Ga+Zn,True,,3.6872213909741056,0.0
61,-1.026585578918457,2.556580057782557,0.9819973315112293,,Al,RF magnetron sputtering on 4H-SiC,Ar:O2=1:1,0.0,DOI:10.1007/s13391-021-00297-6,—,True,,2.556580057782557,0.0
