A,B,d_near,d_mid,d_far,E_near,E_mid,E_far,E_assoc_near_eV,E_assoc_mid_eV,E_bind_eV,verdict
Mg,Sn,3.048,5.359,7.541,-482.7269287109375,-481.3360290527344,-482.1844482421875,-0.54248046875,0.848419189453125,-1.011627197265625,BOUND (attract)
Zn,Sn,3.048,5.359,7.541,-479.3609313964844,-477.998779296875,-478.8385314941406,-0.52239990234375,0.839752197265625,-0.98077392578125,BOUND (attract)
Mg,Si,3.048,5.359,7.541,-487.2191162109375,-487.3192138671875,-486.609130859375,-0.6099853515625,-0.7100830078125,-1.16156005859375,BOUND (attract)
Mg,Ge,3.048,5.359,7.541,-483.6734619140625,-483.2948913574219,-483.1045837402344,-0.568878173828125,-0.1903076171875,-1.056884765625,BOUND (attract)
Zn,Si,3.048,5.359,7.541,-483.90228271484375,-483.97698974609375,-483.27264404296875,-0.629638671875,-0.704345703125,-1.17987060546875,BOUND (attract)
Sn,Si,3.048,5.359,7.541,-485.75457763671875,-486.66845703125,-486.0962219238281,0.341644287109375,-0.572235107421875,0.848480224609375,REPEL
Mg,Zn,3.048,5.359,7.541,-477.01531982421875,-477.33514404296875,-477.4039611816406,0.388641357421875,0.068817138671875,0.8193359375,REPEL
