metric,value
mlp_vacancy_concentration_mae_mean,0.866699
mlp_vacancy_concentration_mae_std,0.688001
mlp_vacancy_concentration_rmse_mean,1.096301
mlp_vacancy_concentration_rmse_std,0.877947
mlp_vacancy_concentration_r2_mean,-36290379426.049400
mlp_vacancy_concentration_r2_std,104059061407.119110
mlp_vacancy_concentration_mc_std_mean_mean,0.060100
mlp_vacancy_concentration_mc_std_mean_std,0.018601
