metric,value
mlp_vacancy_concentration_mae_mean,0.845453
mlp_vacancy_concentration_mae_std,0.699413
mlp_vacancy_concentration_rmse_mean,1.035336
mlp_vacancy_concentration_rmse_std,0.845778
mlp_vacancy_concentration_r2_mean,-38094162629.689636
mlp_vacancy_concentration_r2_std,114231244351.712311
mlp_vacancy_concentration_mc_std_mean_mean,0.060336
mlp_vacancy_concentration_mc_std_mean_std,0.021043
