doi,element,conc_at,atmosphere,T_C,method,source,pred_PDR,meas_PDR,pred_dark,meas_dark,pred_VO,meas_VO,meas_VO_log10,pred_n,pred_mu,pred_sigma,pred_Eg,pred_dEg,meas_n,meas_mu,meas_sigma
DOI:10.1016/j.surfcoat.2025.131940,Mg,2.18,Ar,800.0,RF magnetron sputtering,exp,32.913898674507166,1.6989700043360187,3.673264475145617,,4.091192759814332e+20,1e+16,16.0,1.9582708666884912e-43,37.83601354184725,7.658731261085751e-61,4.903044196720766,0.0015003372683955092,,,
DOI:10.1016/j.apsusc.2025.169433,Mg,0.0,O2_plasma,550.0,MBE,exp,20.941537908298738,2.0,0.37992646071565694,,896277433.9886744,1e+17,17.0,4144922039655.9663,89.00774147624506,3.8134920313452316e-05,4.902908818441844,0.0,,,
DOI:10.1016/j.apsusc.2025.169433,Mg,2.5,O2_plasma,550.0,MBE,exp,32.909275284459355,4.0,3.7364330488139217,,4.0565972961297007e+20,4.999999999999999e+16,16.69897000433602,1.7009338772524118e-44,37.83610307577443,6.652310723207387e-62,4.903044196720766,0.00013537827892204973,,,
DOI:10.1016/j.apsusc.2025.169433,Mg,5.5,O2_plasma,550.0,MBE,exp,33.23319792921181,5.698970004336019,3.743007359962447,,8.552619837111101e+20,1999999999999992.0,15.30102999566398,1.3189971727511213e-44,37.83199582957112,5.158005647861811e-62,4.903044196720766,0.00013537827892204973,,,
DOI:10.1016/j.apsusc.2025.169433,Mg,7.8,O2_plasma,550.0,MBE,exp,33.27093848637375,7.113943352306837,3.7438821630620724,0.9,9.329103484508473e+20,89999999999999.7,13.954242509439323,1.275110492336876e-44,37.831721350999956,4.9863483708444735e-62,4.903044196720766,0.00013537827892204973,,,
ACS Omega 2024 review,Mg,3.0,O2,650.0,PLD,exp,32.988126565838726,4.113943352306837,3.7365634623993316,,4.8628205011828716e+20,,,1.6923749140953602e-44,37.83472782562096,6.618596249393011e-62,4.903044196720766,0.00030930776874313234,,,
DOI:10.3390/coatings15111312,Mg,2.0,Ar,800.0,RF magnetron sputtering+AlN,exp,32.876308122332695,3.342422680822206,3.6739021034851174,120.0,3.7522816719741616e+20,,,1.910561747756275e-43,37.836777225877285,7.472293325398558e-61,4.903044196720766,0.0015003372683955092,,,
DOI:10.1021/acsaelm.5c02383,Mg,1.5,O2,650.0,PLD on MgO substrate,exp,32.687012025665545,3.3010299956639813,3.7365967876275166,,2.4309554200572835e+20,,,1.6901947173959508e-44,37.84217084535968,6.611370226445922e-62,4.903044196720766,0.00030930776874313234,,,
DOI:10.1007/s13391-017-7072-y,Zn,3.0,Ar,800.0,RF magnetron sputtering,exp,33.049278731065286,2.1760912590556813,3.5449798527210743,,5.585752230798954e+20,,,2.7987207540444137e-41,37.833856604049,1.0945078414900373e-58,4.903044196720766,0.0015003372683955092,,,
ResearchGate Struct.Opt.Zn,Zn,0.5,Ar,800.0,RF magnetron sputtering,exp,32.26802894884551,1.6989700043360187,3.552495511143216,,9.253481263625676e+19,,,2.092676338199322e-41,37.87219591917804,8.192213208553667e-59,4.903044196720766,0.0015003372683955092,,,
ResearchGate Struct.Opt.Zn,Zn,2.0,Ar,800.0,RF magnetron sputtering,exp,32.873205502322506,2.4771212547196626,3.544977194807617,,3.725595414058669e+20,,,2.799008512826309e-41,37.83684402643722,1.0947068095544876e-58,4.903044196720766,0.0015003372683955092,,,
DOI:10.1016/j.surfcoat.2025.131691,Zn,8.2,O2,400.0,Spatial ALD,exp,32.96057261033108,6.869231719730976,3.6860765431573954,0.00071,4.565557356740239e+20,,,1.1929973894929968e-43,37.83517336422125,4.6656689153987665e-61,4.903044196720766,2.498491828736934e-05,,,
ref review,Zn,2.0,O2,600.0,MOCVD,exp,32.710827057836894,6.460897842756548,3.631130422367976,37.0,2.5683660956135204e+20,,,9.992949586590704e-43,82.0259922885205,8.472740103348554e-60,4.903044196720766,0.00020858051042335182,,,
DOI:10.1016/j.jallcom.2023.171596,Zn,3.0,N2+O2,900.0,MOCVD on ZnGa₂O₄,exp,32.94657098853543,7.071882007306125,3.6188183891120587,0.635,4.393692416336441e+20,,,1.6088914799935424e-42,82.01318893778812,1.3639207809123736e-59,4.903044196720766,0.0013008522762798422,,,
DOI:10.1039/D3TC03599A,Zn,3.0,O2,650.0,PLD+O₂ FTF anneal,exp,32.8935446306451,8.301029995663981,3.6300400785530744,0.75,3.9112209774650425e+20,,,1.0423430292216045e-42,37.83641678402134,4.076611851091814e-60,4.903044196720766,0.00030930776874313234,,,
DOI:10.1016/j.apsusc.2024.161509,Zn,2.0,N2+O2,800.0,MOCVD,exp,32.7878139833358,8.301029995663981,3.61190978514019,,3.061101241345231e+20,,,2.1017748478166703e-42,82.02082711443099,1.7819233981835864e-59,4.903044196720766,0.00088532671959705,,,
DOI:10.1088/2752-5724/ad19e1,H,0.0,Ar,,RF magnetron sputtering,exp,17.250118449097634,2.0,0.1651042382811223,,109051762442.79193,4.9999999999999994e+17,17.69897000433602,1.6838688058471548e+16,89.53561467903111,0.1558413732979044,4.901544490504348,0.0,,,
DOI:10.1088/2752-5724/ad19e1,H,0.5,Ar+H2,,RF magnetron sputtering,exp,31.28888678805727,7.423245873936808,3.0973072723180333,51.7,240214548821197.47,1e+16,16.0,9.279571408051918e-34,38.538763971885466,3.6966164803306795e-51,4.903044196720766,0.0014997062164191911,,,
DOI:10.1088/2752-5724/ad19e1,H,1.0,Ar+H2,,RF magnetron sputtering,exp,31.564123916144545,5.698970004336019,2.9250904640512867,,315917375510558.5,4.999999999999999e+16,16.69897000433602,7.255092651330419e-31,38.152808966309735,2.8611997376508787e-48,4.903044196720766,0.0014997062164191903,,,
