doi,element,conc_at,atmosphere,T_C,method,source,pred_PDR,meas_PDR,pred_dark,meas_dark,pred_VO,meas_VO,meas_VO_log10,pred_n,pred_mu,pred_sigma,pred_Eg,pred_dEg,meas_n,meas_mu,meas_sigma
DOI:10.1063/5.0139622 review,Sn,0.714,N2+O2,900.0,MOCVD,exp,20.972174835686474,,0.1868323102330569,,407357868545.6307,2.5999999999999587e+20,20.41497334797081,7266631441705585.0,82.37256469678529,0.06187203740868277,4.901780806491121,3.7462046634589895e-05,,,
DOI:10.1016/j.surfcoat.2025.131940,Mg,1.01,Ar,800.0,RF magnetron sputtering,exp,32.57782411555941,3.0,3.679963715896283,,1.8880914945353174e+20,2.0000000000000004e+16,16.30102999566398,1.511229670401506e-43,37.8469112501732,5.9120705639507796e-61,4.903044196720766,0.0015003372683955092,,,
Zhou et al. ACS Omega ref,Sn,3.0,N2,1050.0,CVD microbelts,exp,19.802531592677795,8.0,0.06843028633968107,0.5,11910704082716.156,1e+16,16.0,6.93372717732373e+17,37.868322000988606,3.0172253587954634,4.903834131078279,0.0024721673041041238,,,
GOX2023 proceedings,Si,0.00082,N2+O2,800.0,MOCVD,exp,18.568934615872315,,0.21801878170212952,,140797056333.4873,3.000000000000001e+17,17.477121254719663,2174905782431801.2,164.45075943073596,0.03697047469525466,4.902109989798305,-4.888020286407361e-05,,,
DOI:10.1016/j.sna.2023.114765,Sn,2e-05,air,600.0,Sol-gel,exp,20.23946123766113,5.0,0.3361965058832581,,2872904665.574151,8000000000000003.0,15.903089986991944,22498172947042.977,88.87392302889762,0.000206680877863228,4.902809963172458,2.2701498025836613e-06,,,
DOI:10.1063/5.0369553 APL Mater.2025,Si,0.00082,N2+O2,800.0,MOCVD,exp,18.568934615872315,,0.21801878170212952,,140797056333.4873,3.000000000000001e+17,17.477121254719663,2174905782431801.2,164.45075943073596,0.03697047469525466,4.902109989798305,-4.888020286407361e-05,,,
10.1016/j.matlet.2017.08.052,Mg,4.92,,,RF magnetron sputtering,exp,33.268388040638285,,3.669090766180263,,9.244553448827039e+20,,,2.3013781613428823e-43,37.831738975298,8.999595455014962e-61,4.903044196720766,0.0014997062164191911,,,
10.1016/j.matlet.2017.08.052,Mg,6.88,,,RF magnetron sputtering,exp,33.2776460362948,,3.669032822826955,,9.4434123482403e+20,,,2.3065421379084952e-43,37.831675612735076,9.019774204567101e-61,4.903044196720766,0.0014997062164191911,,,
10.1016/j.matlet.2017.08.052,Mg,8.58,,,RF magnetron sputtering,exp,33.2776460362948,,3.669032822826955,,9.4434123482403e+20,,,2.3065421379084952e-43,37.831675612735076,9.019774204567101e-61,4.903044196720766,0.0014997062164191911,,,
10.1016/j.mssp.2022.106471,Mg,1.91,O2_plasma,,RF magnetron sputtering,exp,32.742318011371346,,3.751811255617876,,2.7568787155567447e+20,542999999999.99915,11.734799829588846,9.383069368982039e-45,37.840281428506636,3.6701006981946173e-62,4.903044196720766,0.0007534964370623574,,,
10.1016/j.mssp.2022.106471,Mg,3.28,O2_plasma,,RF magnetron sputtering,exp,32.99326509377876,,3.747611030092247,,4.910600825398099e+20,542999999999.99915,11.734799829588846,1.1038386852671787e-44,37.83464857522018,4.316920097427739e-62,4.903044196720766,0.0007534964370623574,,,
10.1016/j.mssp.2022.106471,Mg,5.22,O2_plasma,,RF magnetron sputtering,exp,33.20308244335219,,3.745302127999981,,7.95574962594575e+20,542999999999.99915,11.734799829588846,1.2069616146499487e-44,37.83223727475029,4.719915012095731e-62,4.903044196720766,0.0007534964370623574,,,
10.1016/j.mssp.2024.108361,Mg,1.0,O2_plasma,,RF magnetron sputtering,exp,32.430685246219035,4.309630167425898,3.7586073855349413,,1.3456769037707154e+20,,,7.213980588937609e-45,37.85617784565965,2.82286707446786e-62,4.903044196720766,0.0007534964370623574,,,
10.1016/j.mssp.2024.108361,Mg,2.0,O2_plasma,,RF magnetron sputtering,exp,32.76399658817883,4.309630167425898,3.7513963526771668,,2.8978779490368e+20,,,9.534874687959743e-45,37.83961905551731,3.7294126605954823e-62,4.903044196720766,0.0007534964370623574,,,
10.1016/j.mssp.2024.108361,Mg,3.0,O2_plasma,,RF magnetron sputtering,exp,32.952381948332246,4.309630167425898,3.748197935316311,,4.4698772326480976e+20,,,1.0790610998788006e-44,37.83531276094287,4.220093375477898e-62,4.903044196720766,0.0007534964370623574,,,
10.1007/s10853-019-03663-w,Ti,0.01,,,PLD,exp,28.74363200102395,,1.2268498268924595,,137372783411.96931,,,0.024537483400055522,84.90830499352299,2.1535694688991392e-19,4.9030441942217164,0.0014997037173690682,,,
10.1007/s10853-019-03663-w,Ti,1.0,,,PLD,exp,30.043361494713476,,1.2079257816025168,,372510522241.3151,,,0.05101994517334133,43.709266440845376,2.3051128994964837e-19,4.903044193531103,0.0014997030267553664,,,
10.1007/s10853-019-03663-w,Ti,1.5,,,PLD,exp,30.174153380700265,,1.2054174048822666,,411850116155.1034,,,0.05621844926640841,42.00027880094471,2.44067375247079e-19,4.903044193426254,0.0014997029219064029,,,
10.1007/s10853-019-03663-w,Ti,4.0,,,PLD,exp,30.49217842544344,,1.1992545968251478,,525727560375.2489,,,0.0713525470358589,39.57627662308421,2.9189261614244264e-19,4.9030441931537805,0.0014997026494333392,,,
10.1007/s10853-019-03663-w,Ti,5.0,,,PLD,exp,30.56472916959436,,1.197839380562403,,555838453718.8567,,,0.07536749266449765,39.25532576168377,3.0581680633492484e-19,4.9030441930880935,0.0014997025837467023,,,
10.1016/j.optmat.2019.109223,Ti,1.5,,500.0,RF magnetron sputtering,exp,30.292849525356875,,1.2126878295272747,,904107549.9904655,,,0.04243665103151452,40.85765447008429,1.7922278855324937e-19,4.90304419372106,0.00021218999401439263,,,
10.1016/j.optmat.2019.109223,Ti,5.0,,500.0,RF magnetron sputtering,exp,30.682545519974806,,1.2049555586627942,,1219323008.1421542,,,0.057231817354900155,38.85261780604931,2.2984577147858706e-19,4.9030441934065765,0.00021218967952982265,,,
10.1002/pssr.202100411,Ti,11.0,N2,,PLD,exp,30.566604573366696,,1.1978027614719617,,556639268483.9288,,,0.07547432558471533,39.2478410917556,3.061919079977493e-19,4.903044193086378,0.0014997025820310838,,,
10.1039/c9tc05823k,Fe,5.38,,,MBE,exp,28.999999999970647,,1.0367708738592625,,87935431.99723016,,,38.28387493507241,89.00761143421916,3.5222625973480714e-16,4.9030441677360805,0.0014996772317339303,,,
10.1039/c9tc05823k,Fe,9.52,,,MBE,exp,28.999999999970647,,1.0367708738592625,,87935431.99723016,,,38.28387493507241,89.00761143421916,3.5222625973480714e-16,4.9030441677360805,0.0014996772317339303,,,
10.1039/c9tc05823k,Fe,9.62,,,MBE,exp,28.999999999970647,,1.0367708738592625,,87935431.99723016,,,38.28387493507241,89.00761143421916,3.5222625973480714e-16,4.9030441677360805,0.0014996772317339303,,,
10.1038/srep25166,Fe,2.44,,900.0,PLD,exp,29.00000000037714,,1.017502279799145,,1345971393.5119479,,,80.67036504192542,89.00761142789054,7.421981446843548e-16,4.903044159561472,0.0017236673699266682,,,
10.1016/j.optmat.2022.112491,Ta,0.5,,,RF magnetron sputtering,exp,31.865274616213643,,0.8766238740673975,,1509154686902.6304,,,18765.799657826075,37.86394104561345,7.34465814267281e-14,4.903043968192592,0.0014994776882446942,,,
10.1016/j.optmat.2022.112491,Ta,1.0,,,RF magnetron sputtering,exp,32.156204019548646,,0.8709160196993295,,1887491812098.63,,,23402.098804465546,37.84431613498842,9.154490238455503e-14,4.9030439507399555,0.0014994602356082495,,,
10.1016/j.optmat.2022.112491,Ta,1.3,,,RF magnetron sputtering,exp,32.26667226269595,,0.8687432390937726,,2054930636774.552,,,25453.9927619713,37.8402350235777,9.956081360067601e-14,4.903043943751463,0.0014994532471158898,,,
10.1016/j.optmat.2022.112491,Ta,1.5,,,RF magnetron sputtering,exp,32.327003720773476,,0.8675555675836017,,2152599009126.3044,,,26650.656978805895,37.83849683357752,1.0423666080822179e-13,4.903043939847891,0.0014994493435441603,,,
10.1007/s40843-025-3509-0,Sn,0.139,,870.0,RF magnetron sputtering,exp,19.821758190062138,4.534026106056135,0.1335001393082358,,343147246294.3606,,,5.714726483415371e+16,38.657039536358695,0.22835090450637022,4.901322825578286,-1.937904498644158e-05,,,
10.1007/s40843-025-3509-0,Sn,0.199,,870.0,RF magnetron sputtering,exp,19.989835872483138,4.534026106056135,0.13541382292702853,,328198844176.4425,,,5.307316273914281e+16,38.41539890623458,0.21074584052242842,4.901326939404741,-1.526521853222637e-05,,,
10.1007/s40843-025-3509-0,Sn,1.0,,870.0,RF magnetron sputtering,exp,20.6805570163137,4.534026106056135,0.1443479709064368,,337259874051.249,,,3.7573959584785304e+16,37.966445996641475,0.14745707151774987,4.90136688272014,2.4678096867360036e-05,,,
10.1007/s40843-025-3509-0,Sn,1.14,,870.0,RF magnetron sputtering,exp,20.731631552467498,4.534026106056135,0.14505492369637274,,346603348845.1142,,,3.656088676482887e+16,37.9523094255362,0.14342789496921268,4.901371282152853,2.9077529580873694e-05,,,
10.1007/s40843-025-3509-0,Sn,1.39,,870.0,RF magnetron sputtering,exp,20.80760729226609,4.534026106056135,0.1461143281422128,,364255334726.14026,,,3.5093619104278724e+16,37.93390788741649,0.13760507105823616,4.90137816435846,3.595973518767952e-05,,,
10.1063/1.4964638,Sn,2.0,,,PLD,exp,21.533441539310306,,0.18680008612771726,,92113738579.96625,,,7275694264316480.0,37.92344734320265,0.028520750249953618,4.901780448754472,0.0002359582501259168,,,
10.1063/1.4964638,Sn,3.0,,,PLD,exp,21.675094456782244,,0.18885066518074556,,105663232181.37906,,,6720913013675896.0,37.89879531001237,0.02632887940761834,4.901803189529032,0.00025869902468463583,,,
10.1063/1.4964638,Sn,7.0,,,PLD,exp,21.939332093957812,,0.19270664576767516,,151169977772.56293,,,5789672426714258.0,37.86870217902047,0.022662776170946867,4.901845752536634,0.0003012620322862278,,,
10.1063/1.4964638,Sn,8.0,,,PLD,exp,21.939332093957812,,0.19270664576767516,,151169977772.56293,,,5789672426714258.0,37.86870217902047,0.022662776170946867,4.901845752536634,0.0003012620322862278,,,
10.1088/1674-4926/44/6/062805,Sn,5.0,N2,900.0,RF magnetron sputtering,exp,21.03659141327119,6.230448921378274,0.13745054262034184,,1144257430972.3943,,,4.905535452332514e+16,37.865585152775736,0.19200378354973913,4.901333203202995,1.2711011449251155e-05,,,
10.1364/OME.8.003506,Sn,0.3,,1019.0,RF magnetron sputtering,exp,19.03818881838482,0.3010299956639812,0.06929884107394635,,3687624164812.1055,,,6.710665285001381e+17,38.14079945655704,2.9356340642326297,4.903735475103539,0.0023754747111690098,,,
10.1364/OME.8.003506,Sn,0.5,,1019.0,RF magnetron sputtering,exp,19.269269076543242,0.3010299956639812,0.07175807460133665,,3836462545517.8916,,,6.116285910352265e+17,38.0223547727781,2.653142343891146,4.90347180411019,0.002111803717819229,,,
10.1364/OME.8.003506,Sn,0.7,,1019.0,RF magnetron sputtering,exp,19.416904657927113,0.3010299956639812,0.07347477827002624,,4063430046330.807,,,5.7320876350140845e+17,37.97128139286779,2.473952157297424,4.903300875036743,0.0019408746443724412,,,
10.1364/OME.8.003506,Sn,0.9,,1019.0,RF magnetron sputtering,exp,19.524430971990625,0.3010299956639812,0.07478421821849501,,4323854352629.155,,,5.454949065043966e+17,37.942728186518195,2.3459364178117394,4.903177411233304,0.0018174108409331072,,,
10.1364/OME.8.003506,Sn,1.2,,1019.0,RF magnetron sputtering,exp,19.644465156585362,0.3010299956639812,0.07629620111606439,,4740974532344.215,,,5.15118239745785e+17,37.91752307316999,2.2066344854684585,4.903042000713387,0.0016820003210170267,,,
10.1364/OME.8.003506,Sn,1.5,,1019.0,RF magnetron sputtering,exp,19.73529037852657,0.3010299956639812,0.07747077133112867,,5169346108954.4795,,,4.926662371512779e+17,37.902215584709566,2.104285746468212,4.902941912360482,0.0015819119681105198,,,
10.1016/j.mssp.2020.105430,Sn,0.82,N2,499.0,RF magnetron sputtering,exp,24.885944829678287,2.0211892990699383,0.4259731941349063,,10534683.115540441,,,698176609405.1013,38.460610127268325,2.7756209693233534e-06,4.902968747385616,0.0001345811352223255,,,
10.1016/j.mssp.2020.105430,Sn,1.0,N2,499.0,RF magnetron sputtering,exp,24.950572339661832,2.0211892990699383,0.42692959318632795,,10291196.934118282,,,672819388454.428,38.38058329164219,2.669247005319983e-06,4.902969661874648,0.00013549562425502784,,,
10.1016/j.jpcs.2014.06.005,Zn,5.26,,,PLD,exp,33.2924555650844,,3.546706154620198,,9.770440753773072e+20,,,2.6179356839461866e-41,37.83157770070302,1.0237457729461242e-58,4.903044196720766,0.0014997062164191911,,,
10.1016/j.jpcs.2014.06.005,Zn,7.0,,,PLD,exp,33.415911280750144,,3.548279061428995,,1.2976236891280617e+21,,,2.463402066564054e-41,37.830905272904104,9.632981602063699e-59,4.903044196720766,0.0014997062164191911,,,
10.1016/j.jlumin.2020.117048,Zn,8.38,,,thermal evaporation,exp,33.49353194486116,,3.549478397769096,,1.5510022867812973e+21,,,2.3517293413458297e-41,37.83058972372298,9.196215602133896e-59,4.903044196720766,0.0014997062164191911,,,
10.1016/j.mtphys.2020.100263,Zn,7.0,,,RF magnetron sputtering,exp,33.415911280750144,,3.548279061428995,,1.2976236891280617e+21,,,2.463402066564054e-41,37.830905272904104,9.632981602063699e-59,4.903044196720766,0.0014997062164191911,,,
10.1039/D2TC05204K,Zn,7.5,O2,,MOCVD,exp,33.28722697555956,,3.6329265091260945,,9.653709032023404e+20,5.900000000000006e+16,16.770852011642145,9.322250460036663e-43,82.00494787746804,7.902045379089472e-60,4.903044196720766,0.0007534964370623574,,,
10.1016/j.apsusc.2019.01.177,Zn,9.7,O2_plasma,200.0,PLD,exp,32.10582144508536,,3.747752841407645,,6.374488684426252e+19,,,1.0978001482353624e-44,37.89767070921419,4.300455901022228e-62,4.903044196720766,8.599989275152807e-09,,,
10.1039/D3TC03599A,Zn,6.34,O2,600.0,MOCVD,exp,33.14903515266934,2.681241237375587,3.6432675988371757,,7.045020099295247e+20,,,6.248821308872087e-43,82.00736461725343,5.296996146607528e-60,4.903044196720766,0.00020858051042335182,,,
10.1007/s13391-017-7072-y,Zn,0.69,,650.0,RF magnetron sputtering,exp,32.412593890148855,2.404833716619938,3.540814362726058,,1.292145905777304e+20,,,3.2880371846741355e-41,37.857612209253425,1.2866743229209904e-58,4.903044196720766,0.0007425500827879686,,,
10.1007/s13391-017-7072-y,Zn,0.88,,650.0,RF magnetron sputtering,exp,32.51797326941611,2.404833716619938,3.5415862882867324,,1.647085877290336e+20,,,3.191309622379501e-41,37.850215325426035,1.248578900950447e-58,4.903044196720766,0.0007425500827879686,,,
10.1007/s13391-017-7072-y,Zn,0.96,,650.0,RF magnetron sputtering,exp,32.555641057496516,2.404833716619938,3.5419479135928897,,1.796349170734711e+20,,,3.1469794281333907e-41,37.84807005959499,1.2311652203498354e-58,4.903044196720766,0.0007425500827879686,,,
10.1007/s13391-017-7072-y,Zn,1.83,,650.0,RF magnetron sputtering,exp,32.83440873954419,2.404833716619938,3.545875083227455,,3.413328049647729e+20,,,2.703462549410295e-41,37.83773169530019,1.0573630911756715e-58,4.903044196720766,0.0007425500827879686,,,
10.1007/s13391-017-7072-y,Zn,2.49,,650.0,RF magnetron sputtering,exp,32.9671364804975,2.404833716619938,3.548402405105035,,4.6334008887135974e+20,,,2.4516768083356263e-41,37.83506400126273,9.588184611536425e-59,4.903044196720766,0.0007425500827879686,,,
10.1007/s13391-017-7072-y,Zn,3.03,,650.0,RF magnetron sputtering,exp,33.051600200496125,2.404833716619938,3.550186983846483,,5.62801910719825e+20,,,2.2881453857080817e-41,37.83382645622396,8.94834208767552e-59,4.903044196720766,0.0007425500827879686,,,
10.1016/j.elecom.2013.08.011,Zn,0.59,Ar,600.0,,exp,32.34416660702365,,3.5422994467227378,,1.1038333429108767e+20,,,3.1044767184339944e-41,37.86376519810632,1.2150409111667817e-58,4.903044196720766,0.0005161101989833623,,,
10.1016/j.elecom.2013.08.011,Zn,0.68,Ar,600.0,,exp,32.40554473696463,,3.543115554206146,,1.2714664074339264e+20,,,3.008003968985159e-41,37.85819161245861,1.1771097731729209e-58,4.903044196720766,0.0005161101989833623,,,
10.1016/j.elecom.2013.08.011,Zn,1.0,Ar,600.0,,exp,32.572052355688584,,3.545818074272733,,1.8657721866451917e+20,,,2.709430816281316e-41,37.847205678532475,1.0599626980425968e-58,4.903044196720766,0.0005161101989833623,,,
10.1002/aelm.202300679,Si,2.0,,825.0,MOCVD,exp,20.862699649288004,,0.14196040265523635,,254076590661.2412,1.400000000000012e+20,20.14612803567824,4.120730600807054e+16,82.02626861131792,0.34938630210414884,4.901353241148174,-9.582959664796592e-05,,,
10.1002/aelm.202300679,Si,10.0,,825.0,MOCVD,exp,21.35371281998151,,0.14196023885025255,,254109238163.9658,1.400000000000012e+20,20.14612803567824,4.120756695594248e+16,82.0063968718846,0.3493038715166327,4.9013532402796605,-9.583046516135538e-05,,,
10.1016/j.physb.2011.08.061,Si,13.8,,,RF magnetron sputtering,exp,21.903628188907792,,0.15499270673097687,,161255941490.2785,,,2.4896287076123468e+16,37.832322356817635,0.09735903939102337,4.901447447406804,-9.704309754243355e-05,,,
10.1016/j.optmat.2020.110145,Si,1.1,,,MOCVD,exp,20.821819296086524,,0.1549943447153348,,161225462999.1604,,,2.4894710169001796e+16,82.0554336768652,0.21115098668395219,4.901447461813467,-9.702869088025999e-05,,,
10.1016/j.optmat.2020.110145,Si,1.6,,,MOCVD,exp,20.9846061782683,,0.1549928069046116,,161237067005.09384,,,2.4896190634901504e+16,82.034716008597,0.21111022826680295,4.901447448287853,-9.704221649393236e-05,,,
10.1002/pssb.202000362,Si,1.0,Ar,,PLD,exp,21.116391418679296,,0.1549948754098791,,161221751230.58136,,,2.4894199284434384e+16,37.85813465418719,0.0974172956153195,4.901447466481226,-9.702402312097727e-05,,,
10.1063/5.0050468,Zn,0.25,air,1200.0,,exp,31.062011931578837,,3.793417598889924,,5.683215836495629e+18,,,1.8766752353828477e-45,39.17684050763743,7.599713622201754e-63,4.903044196720766,0.0016950832364287984,,,
10.1016/j.matlet.2017.08.052,Mg,4.92,,800.0,RF magnetron sputtering,exp,33.268385800579296,,3.6691010979150978,,9.2444564456137e+20,,,2.300458600826484e-43,37.83173899083437,8.995999494872115e-61,4.903044196720766,0.0015003372683955092,,,
10.1016/j.matlet.2017.08.052,Mg,6.88,,800.0,RF magnetron sputtering,exp,33.27764304524188,,3.6690429958523763,,9.443296419175814e+20,,,2.3056346686279704e-43,37.83167563293469,9.016225534560368e-61,4.903044196720766,0.0015003372683955092,,,
10.1016/j.matlet.2017.08.052,Mg,8.58,,800.0,RF magnetron sputtering,exp,33.27764304524188,,3.6690429958523763,,9.443296419175814e+20,,,2.3056346686279704e-43,37.83167563293469,9.016225534560368e-61,4.903044196720766,0.0015003372683955092,,,
10.1016/j.mssp.2022.106471,Mg,1.91,O2_plasma,800.0,RF magnetron sputtering,exp,32.74224035281801,,3.7518302910351213,,2.756378085540408e+20,542999999999.99915,11.734799829588846,9.376162943925992e-45,37.840283876347925,3.667399551225713e-62,4.903044196720766,0.0007540422879694568,,,
10.1016/j.mssp.2022.106471,Mg,3.28,O2_plasma,800.0,RF magnetron sputtering,exp,32.99320969946061,,3.747626422691177,,4.909956067179578e+20,542999999999.99915,11.734799829588846,1.1031816417501893e-44,37.83464942332134,4.314350611823998e-62,4.903044196720766,0.0007540422879694568,,,
10.1016/j.mssp.2022.106471,Mg,5.22,O2_plasma,800.0,RF magnetron sputtering,exp,33.20304278678415,,3.7453139570841527,,7.954984827803949e+20,542999999999.99915,11.734799829588846,1.2064094722728895e-44,37.83223760668522,4.717755858811185e-62,4.903044196720766,0.0007540422879694568,,,
10.1016/j.mssp.2024.108361,Mg,1.0,O2_plasma,800.0,RF magnetron sputtering,exp,32.430573507346594,4.309630167425898,3.758629979570737,,1.3453280621366514e+20,,,7.207678495027383e-45,37.856186477771246,2.8204016763794973e-62,4.903044196720766,0.0007540422879694568,,,
10.1016/j.mssp.2024.108361,Mg,2.0,O2_plasma,800.0,RF magnetron sputtering,exp,32.7639210209684,4.309630167425898,3.7514151024483438,,2.897365459200591e+20,,,9.52796180289319e-45,37.83962129340333,3.7267090173467614e-62,4.903044196720766,0.0007540422879694568,,,
10.1016/j.mssp.2024.108361,Mg,3.0,O2_plasma,800.0,RF magnetron sputtering,exp,32.95232320232007,4.309630167425898,3.7482139711804336,,4.469256645672132e+20,,,1.0783919713108648e-44,37.83531377265437,4.217476597478657e-62,4.903044196720766,0.0007540422879694568,,,
10.1007/s10853-019-03663-w,Ti,0.01,,500.0,PLD,exp,28.853539578038085,,1.2412421335174746,,299536741.66514736,,,0.014062091157206913,82.1023534940191,1.1933949918931165e-19,4.903044194644985,0.0002121909179385318,,,
10.1007/s10853-019-03663-w,Ti,1.0,,500.0,PLD,exp,30.162411413322925,,1.2152759342527766,,817976305.0135278,,,0.03839395553816701,42.13277555142709,1.6720975978650034e-19,4.903044193819511,0.00021219009246506164,,,
10.1007/s10853-019-03663-w,Ti,1.5,,500.0,PLD,exp,30.292849525356875,,1.2126878295272747,,904107549.9904655,,,0.04243665103151452,40.85765447008429,1.7922278855324937e-19,4.90304419372106,0.00021218999401439263,,,
10.1007/s10853-019-03663-w,Ti,4.0,,500.0,PLD,exp,30.610135295759864,,1.2063923138667523,,1153405520.3241725,,,0.05413786337160769,39.08449152758832,2.187178729174245e-19,4.903044193467408,0.00021218974036125882,,,
10.1007/s10853-019-03663-w,Ti,5.0,,500.0,PLD,exp,30.682545519974806,,1.2049555586627942,,1219323008.1421542,,,0.057231817354900155,38.85261780604931,2.2984577147858706e-19,4.9030441934065765,0.00021218967952982265,,,
10.1002/pssr.202100411,Ti,11.0,N2,900.0,PLD,exp,30.537685292216516,,1.1960607965447787,,2150131242533.1072,,,0.08073520712517687,39.367628788155116,3.2853445002784853e-19,4.903044193003823,0.0017237008122777209,,,
10.1039/c9tc05823k,Fe,5.38,,750.0,MBE,exp,28.999999999870333,,1.0366575161308917,,42307332.61823849,,,38.452113436168005,89.00761143451014,3.537741181511526e-16,4.903044167693686,0.0012612855055017488,,,
10.1039/c9tc05823k,Fe,9.52,,750.0,MBE,exp,28.999999999870333,,1.0366575161308917,,42307332.61823849,,,38.452113436168005,89.00761143451014,3.537741181511526e-16,4.903044167693686,0.0012612855055017488,,,
10.1039/c9tc05823k,Fe,9.62,,750.0,MBE,exp,28.999999999870333,,1.0366575161308917,,42307332.61823849,,,38.452113436168005,89.00761143451014,3.537741181511526e-16,4.903044167693686,0.0012612855055017488,,,
,Ta,0.2,N2,850.0,RF magnetron sputtering,exp,31.469872388031874,2.307496037913213,0.8778054866265466,,2283900671301.492,,,17927.38140481542,37.937203098036946,7.030089650277685e-14,4.903043971647855,0.0016653954491611194,,,
,Ta,0.5,N2,850.0,RF magnetron sputtering,exp,31.854604652464417,2.307496037913213,0.8705025094372214,,3070980221488.989,,,23779.431918707305,37.86501980988861,9.30718527210521e-14,4.903043949424988,0.001665373226294749,,,
,Ta,1.0,N2,850.0,RF magnetron sputtering,exp,32.14706336908229,2.307496037913213,0.8648651573650845,,3847814159127.1523,,,29573.64272621146,37.84471554988937,1.1568811979607948e-13,4.903043930780984,0.0016653545822899016,,,
,Ta,1.4,N2,850.0,RF magnetron sputtering,exp,32.2894616049447,2.307496037913213,0.8621019966467252,,4295203725324.1763,,,32909.69663755252,37.83954275707991,1.2872071824432006e-13,4.903043921135675,0.0016653449369801476,,,
,Ta,1.5,N2,850.0,RF magnetron sputtering,exp,32.31869389097076,2.307496037913213,0.8615335519451115,,4393379590394.6704,,,33641.34336185276,37.838718708720464,1.3157956526491964e-13,4.903043919108441,0.0016653429097474239,,,
,Ta,1.53,N2,850.0,RF magnetron sputtering,exp,32.32708636505424,2.307496037913213,0.8613702833058152,,4421983851432.722,,,33854.47802026214,37.8384946535647,1.324124032564151e-13,4.903043918523428,0.00166534232473403,,,
,Ta,1.79,N2,850.0,RF magnetron sputtering,exp,32.39363466588538,2.307496037913213,0.8600745759809776,,4655600309961.872,,,35594.512325828306,37.836897189877526,1.3921218744657826e-13,4.90304391383681,0.0016653376381161914,,,
10.1016/j.mssp.2021.106040,Ta,10.0,,600.0,RF magnetron sputtering,exp,32.986235963187184,,0.8864735833262154,,91033111168.63873,,,12820.331134870468,37.83070409436302,5.013284631390679e-14,4.9030439954477645,0.0005159089259820104,,,
10.1016/j.optmat.2022.112491,Ta,0.5,,850.0,RF magnetron sputtering,exp,31.854604652464417,,0.8705025094372214,,3070980221488.989,,,23779.431918707305,37.86501980988861,9.30718527210521e-14,4.903043949424988,0.001665373226294749,,,
10.1016/j.optmat.2022.112491,Ta,1.0,,850.0,RF magnetron sputtering,exp,32.14706336908229,,0.8648651573650845,,3847814159127.1523,,,29573.64272621146,37.84471554988937,1.1568811979607948e-13,4.903043930780984,0.0016653545822899016,,,
10.1016/j.optmat.2022.112491,Ta,1.3,,850.0,RF magnetron sputtering,exp,32.2580747787689,,0.8627119013940341,,4192265933831.5215,,,32142.372523727754,37.8405082078771,1.2572266726240603e-13,4.903043923294305,0.0016653470956119766,,,
10.1016/j.optmat.2022.112491,Ta,1.5,,850.0,RF magnetron sputtering,exp,32.31869389097076,,0.8615335519451115,,4393379590394.6704,,,33641.34336185276,37.838718708720464,1.3157956526491964e-13,4.903043919108441,0.0016653429097474239,,,
10.1063/1.4964638,Sn,2.0,,400.0,PLD,exp,26.99952557875802,,0.5546615972488294,,96268.32186922926,,,4809448437.412943,38.552482125057836,1.9165771807359298e-08,4.903029710724234,5.044031502673511e-05,,,
10.1063/1.4964638,Sn,3.0,,400.0,PLD,exp,27.110922037130052,,0.5557685013936178,,91800.4184695551,,,4607868766.713676,38.38761173342039,1.8283944354144507e-08,4.903029915577737,5.064516852974474e-05,,,
10.1063/1.4964638,Sn,7.0,,400.0,PLD,exp,27.252029042104862,,0.5566317787674651,,87300.83848690041,,,4456538678.981619,38.220424347709454,1.7606453348486776e-08,4.903030073334889,5.080292568162236e-05,,,
10.1063/1.4964638,Sn,8.0,,400.0,PLD,exp,27.252029042104862,,0.5566317787674651,,87300.83848690041,,,4456538678.981619,38.220424347709454,1.7606453348486776e-08,4.903030073334889,5.080292568162236e-05,,,
10.1364/OME.8.003506,Sn,0.3,,650.0,RF magnetron sputtering,exp,22.38256882263597,0.3010299956639812,0.27853921492950384,,2012050287.7390547,,,209289187214215.06,38.49939744915675,0.0008328742197156059,4.902571402389862,0.00026975575188312195,,,
10.1364/OME.8.003506,Sn,0.5,,650.0,RF magnetron sputtering,exp,22.578539330050678,0.3010299956639812,0.28136300172285367,,1890863951.3734322,,,187633034167565.16,38.27338121113404,0.0007423091743983141,4.902587003640081,0.0002853570021022398,,,
10.1364/OME.8.003506,Sn,0.7,,650.0,RF magnetron sputtering,exp,22.7018971687271,0.3010299956639812,0.28315610055125795,,1844249595.5731158,,,175059865349781.3,38.17139480847444,0.0006907220421159376,4.902596667707467,0.00029502106948847494,,,
10.1364/OME.8.003506,Sn,0.9,,650.0,RF magnetron sputtering,exp,22.791364445443715,0.3010299956639812,0.2844568702415957,,1828076860.701027,,,166469485282063.28,38.11213536897869,0.0006558078557072547,4.902603562142386,0.00030191550440764856,,,
10.1364/OME.8.003506,Sn,1.2,,650.0,RF magnetron sputtering,exp,22.891589589754048,0.3010299956639812,0.28592600385132716,,1831015550.995645,,,157273044856202.16,38.05779556870157,0.0006186950187638809,4.902611232886964,0.0003095862489856721,,,
